iter	MultiClass
0	0.9835619766
1	0.888194906
2	0.8158597943
3	0.7562210641
4	0.7030035354
5	0.6570418613
6	0.6209448037
7	0.5858436739
8	0.556455894
9	0.5272255639
10	0.5031200774
11	0.4792248677
12	0.4593505126
13	0.4403633061
14	0.424325369
15	0.4088405933
16	0.3950002184
17	0.3821122393
18	0.3706357533
19	0.3600752317
20	0.3482504483
21	0.3391352991
22	0.3327830227
23	0.3249309605
24	0.3176535852
25	0.3106131649
26	0.3046354811
27	0.2980718643
28	0.2928572314
29	0.2873266127
30	0.2824320895
31	0.278368503
32	0.2730585498
33	0.2696957946
34	0.2650286715
35	0.2611889201
36	0.2573623727
37	0.253990854
38	0.2508142354
39	0.2473355494
40	0.2446026257
41	0.2409899848
42	0.237843666
43	0.2351615169
44	0.2324766429
45	0.2305668586
46	0.2272383997
47	0.2244536446
48	0.2223079704
49	0.2204624978
50	0.2183726984
51	0.2164334562
52	0.2146539921
53	0.2128508104
54	0.2110342883
55	0.2092210224
56	0.2072181284
57	0.2050387228
58	0.2039049207
59	0.2024479507
60	0.2005333432
61	0.1986985079
62	0.1979509324
63	0.1956924865
64	0.1943386956
65	0.1929712255
66	0.1920127837
67	0.1906235407
68	0.1899638467
69	0.1885107738
70	0.1875601897
71	0.1863142777
72	0.1851009698
73	0.1839940265
74	0.1831678755
75	0.1822177243
76	0.1812070353
77	0.1801347626
78	0.179248583
79	0.1784674621
80	0.1774935854
81	0.1766040679
82	0.1754297939
83	0.1747045192
84	0.1732003697
85	0.1721094407
86	0.171173885
87	0.1701410397
88	0.1691928434
89	0.1684815502
90	0.1675549086
91	0.1671036622
92	0.1662443161
93	0.165715646
94	0.1650356923
95	0.1641602691
96	0.1635196275
97	0.162925914
98	0.1625797344
99	0.1619108371
100	0.161583026
101	0.1609648934
102	0.1603391259
103	0.1595589247
104	0.1588319687
105	0.1580760904
106	0.157902444
107	0.157024919
108	0.1561054759
109	0.155425852
110	0.1549933542
111	0.1545042973
112	0.1537200896
113	0.1532559527
114	0.1528050295
115	0.1523478405
116	0.1515794671
117	0.1512103612
118	0.1508075111
119	0.1503190445
120	0.149606779
121	0.1492601832
122	0.1485688069
123	0.1479636341
124	0.1475505606
125	0.1471140096
126	0.1466152915
127	0.1458365779
128	0.1453829209
129	0.1449380339
