iter	Passed	Remaining
0	45	45206
1	81	40635
2	118	39262
3	154	38463
4	193	38416
5	228	37892
6	263	37449
7	300	37238
8	337	37174
9	373	37000
10	411	36955
11	447	36857
12	485	36841
13	521	36748
14	557	36609
15	593	36481
16	627	36300
17	664	36234
18	699	36138
19	735	36044
20	770	35923
21	807	35892
22	842	35802
23	876	35655
24	912	35574
25	943	35358
26	979	35298
27	1012	35157
28	1047	35063
29	1081	34962
30	1117	34920
31	1153	34892
32	1223	35858
33	1301	36990
34	1354	37348
35	1393	37311
36	1426	37129
37	1457	36894
38	1492	36784
39	1532	36784
40	1564	36604
41	1599	36492
42	1635	36405
43	1670	36297
44	1704	36165
45	1742	36129
46	1775	35993
47	1810	35913
48	1844	35803
49	1877	35672
50	1916	35655
51	1949	35532
52	1984	35451
53	2019	35373
54	2055	35324
55	2089	35230
56	2122	35109
57	2163	35143
58	2207	35215
59	2247	35210
60	2293	35302
61	2326	35200
62	2361	35121
63	2394	35022
64	2429	34952
65	2464	34874
66	2498	34790
67	2532	34706
68	2567	34641
69	2600	34550
70	2634	34469
71	2669	34401
72	2703	34333
73	2738	34263
74	2771	34177
75	2806	34115
76	2839	34042
77	2874	33983
78	2907	33891
79	2945	33875
80	2980	33817
81	3014	33744
82	3047	33668
83	3078	33565
84	3115	33538
85	3149	33477
86	3185	33427
87	3217	33343
88	3252	33289
89	3287	33244
90	3317	33137
91	3350	33069
92	3384	33008
93	3417	32934
94	3453	32898
95	3484	32810
96	3518	32751
97	3552	32699
98	3586	32637
99	3621	32594
100	3655	32541
101	3690	32487
102	3725	32445
103	3758	32377
104	3792	32323
105	3824	32258
106	3856	32187
107	3889	32123
108	3920	32048
109	3953	31990
110	3989	31953
111	4020	31878
112	4050	31798
113	4082	31730
114	4125	31744
115	4158	31693
116	4189	31617
117	4226	31594
118	4260	31542
119	4297	31518
120	4332	31474
121	4365	31414
122	4399	31367
123	4434	31325
124	4467	31273
125	4503	31240
126	4537	31192
127	4568	31121
128	4602	31075
129	4635	31022
130	4666	30957
131	4700	30910
132	4735	30871
133	4771	30834
134	4802	30774
135	4836	30724
136	4868	30670
137	4905	30640
138	4937	30583
139	4972	30544
140	5006	30501
141	5040	30458
142	5071	30394
143	5103	30339
144	5139	30303
145	5170	30244
146	5203	30193
147	5236	30142
148	5274	30124
149	5308	30083
150	5341	30031
151	5372	29971
152	5409	29945
153	5443	29905
154	5476	29855
155	5509	29808
156	5543	29763
157	5577	29723
158	5619	29724
159	5655	29689
160	5688	29642
161	5727	29625
162	5767	29615
163	5803	29581
164	5834	29524
165	5869	29488
166	5902	29439
167	5938	29411
